bot_fraction,threshold_top_k,model,precision,recall,f1_score
0.05,0.05,PROS,0.07168458781362007,0.08888888888888889,0.07936507936507936
0.05,0.1,PROS,0.04690431519699812,0.1111111111111111,0.06596306068601583
0.05,0.15,PROS,0.04267425320056899,0.26666666666666666,0.07357449417535254
0.05,auto,IsolationForest,0.055327868852459015,0.12,0.07573632538569425
0.1,0.05,PROS,0.10948905109489052,0.061224489795918366,0.07853403141361257
0.1,0.1,PROS,0.09404388714733543,0.12244897959183673,0.10638297872340426
0.1,0.15,PROS,0.0992063492063492,0.20408163265306123,0.13351134846461948
0.1,auto,IsolationForest,0.1006036217303823,0.10204081632653061,0.10131712259371833
0.2,0.05,PROS,0.18382352941176472,0.047619047619047616,0.07564296520423601
0.2,0.1,PROS,0.20291363163371487,0.18571428571428572,0.19393336648433615
0.2,0.15,PROS,0.20291363163371487,0.18571428571428572,0.19393336648433615
0.2,auto,IsolationForest,0.2157676348547718,0.09904761904761905,0.13577023498694518
0.3,0.05,PROS,0.4069767441860465,0.07,0.11945392491467577
0.3,0.1,PROS,0.3050847457627119,0.12,0.1722488038277512
0.3,0.15,PROS,0.3044569993722536,0.3233333333333333,0.31361138053669574
0.3,auto,IsolationForest,0.3306613226452906,0.11,0.16508254127063532
