videoID,channelTitle,channelDate,channelViewCount,channelSubscriberCount,channelVideoCount,channelCountry,channelID,commentDate,commentLikeCount,videoGenre,hasDescription,channelDescription,defaultProfilePic,isDuplicateComment,label,comment_hour,comment_dayofweek,time_of_day,account_age_days,account_age_bin,has_likes,likes_bin,subscriber_bin,video_count_bin,is_duplicate,has_country,has_description,has_default_pic,profile_complete_score,profile_complete_bin,comments_per_video,comments_per_video_bin,genre_group,pros_anomaly_score,num_features_used,account_age_bin_score,subscriber_bin_score,profile_complete_bin_score,time_of_day_score,is_duplicate_score,comments_per_video_bin_score,iso_forest_score,iso_forest_anomaly,pros_anomaly_binary,pros_pred
VID_0_0,Channel_0,2020-04-12 00:00:00+00:00,15127,1592,10,DE,CH_0000,2021-04-19 00:00:00+00:00,2,Music,True,Some description,True,0,0,0,0,Night (0-6),372.0,>1y,1,2-5,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,0.006431744292272755,3,-0.009709799595991749,0.013968550245855759,0.015036482226954256,0.0,0.0,0.0,1,0,0,0
VID_0_1,Channel_0,2020-04-12 00:00:00+00:00,15127,1592,10,DE,CH_0000,2022-05-21 00:00:00+00:00,2,Music,True,Some description,True,0,0,0,5,Night (0-6),769.0,>1y,1,2-5,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,0.006431744292272755,3,-0.009709799595991749,0.013968550245855759,0.015036482226954256,0.0,0.0,0.0,1,0,0,0
VID_0_2,Channel_0,2020-04-12 00:00:00+00:00,15127,1592,10,DE,CH_0000,2022-11-23 00:00:00+00:00,1,Music,True,Some description,True,0,0,0,2,Night (0-6),955.0,>1y,1,1,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,0.006431744292272755,3,-0.009709799595991749,0.013968550245855759,0.015036482226954256,0.0,0.0,0.0,1,0,0,0
VID_0_3,Channel_0,2020-04-12 00:00:00+00:00,15127,1592,10,DE,CH_0000,2020-05-03 00:00:00+00:00,0,Music,True,Some description,True,0,0,0,6,Night (0-6),21.0,1w-1m,0,0,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,-3.497524485714052e-05,3,-0.029109958207381437,0.013968550245855759,0.015036482226954256,0.0,0.0,0.0,-1,1,0,0
VID_0_4,Channel_0,2020-04-12 00:00:00+00:00,15127,1592,10,DE,CH_0000,2022-08-16 00:00:00+00:00,2,Music,True,Some description,True,0,0,0,1,Night (0-6),856.0,>1y,1,2-5,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,0.006431744292272755,3,-0.009709799595991749,0.013968550245855759,0.015036482226954256,0.0,0.0,0.0,1,0,0,0
VID_1_0,Channel_1,2021-04-20 00:00:00+00:00,949,3640,13,FR,CH_0001,2023-07-17 00:00:00+00:00,0,Entertainment,True,Some description,False,0,1,0,0,Night (0-6),818.0,>1y,0,0,1k-10k,11-50,0,1,1,0,3,High,1,1,Entertainment,-0.00039064898288245924,3,-0.009709799595991749,0.013968550245855759,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_1_1,Channel_1,2021-04-20 00:00:00+00:00,949,3640,13,FR,CH_0001,2023-08-08 00:00:00+00:00,0,Entertainment,True,Some description,False,1,1,0,1,Night (0-6),840.0,>1y,0,0,1k-10k,11-50,0,1,1,0,3,High,1,1,Entertainment,-0.00039064898288245924,3,-0.009709799595991749,0.013968550245855759,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_1_2,Channel_1,2021-04-20 00:00:00+00:00,949,3640,13,FR,CH_0001,2022-05-12 00:00:00+00:00,0,Entertainment,True,Some description,False,0,1,0,3,Night (0-6),387.0,>1y,0,0,1k-10k,11-50,0,1,1,0,3,High,1,1,Entertainment,-0.00039064898288245924,3,-0.009709799595991749,0.013968550245855759,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_1_3,Channel_1,2021-04-20 00:00:00+00:00,949,3640,13,FR,CH_0001,2021-05-03 00:00:00+00:00,0,Entertainment,True,Some description,False,0,1,0,0,Night (0-6),13.0,1w-1m,0,0,1k-10k,11-50,0,1,1,0,3,High,1,1,Entertainment,-0.006857368520012355,3,-0.029109958207381437,0.013968550245855759,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_1_4,Channel_1,2021-04-20 00:00:00+00:00,949,3640,13,FR,CH_0001,2023-06-05 00:00:00+00:00,0,Entertainment,True,Some description,False,1,1,0,0,Night (0-6),776.0,>1y,0,0,1k-10k,11-50,0,1,1,0,3,High,1,1,Entertainment,-0.00039064898288245924,3,-0.009709799595991749,0.013968550245855759,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_2_0,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,CH_0002,2024-11-03 00:00:00+00:00,2,Entertainment,False,,True,0,0,0,6,Night (0-6),871.0,>1y,1,2-5,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,-0.006019395997101096,3,-0.009709799595991749,0.013968550245855759,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
VID_2_1,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,CH_0002,2024-07-26 00:00:00+00:00,3,Entertainment,False,,True,0,0,0,4,Night (0-6),771.0,>1y,1,2-5,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,-0.006019395997101096,3,-0.009709799595991749,0.013968550245855759,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
VID_2_2,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,CH_0002,2025-01-28 00:00:00+00:00,3,Entertainment,False,,True,0,0,0,1,Night (0-6),957.0,>1y,1,2-5,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,-0.006019395997101096,3,-0.009709799595991749,0.013968550245855759,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
VID_2_3,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,CH_0002,2023-02-22 00:00:00+00:00,0,Entertainment,False,,True,0,0,0,2,Night (0-6),251.0,3m-1y,0,0,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,0.0025629830947774303,3,0.016037337679643826,0.013968550245855759,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
VID_2_4,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,CH_0002,2023-04-07 00:00:00+00:00,5,Entertainment,False,,True,0,0,0,4,Night (0-6),295.0,3m-1y,1,2-5,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,0.0025629830947774303,3,0.016037337679643826,0.013968550245855759,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
VID_3_0,Channel_3,2021-05-07 00:00:00+00:00,774,151,81,,CH_0003,2022-12-20 00:00:00+00:00,7,Education,True,Some description,False,0,0,0,1,Night (0-6),592.0,>1y,1,6-10,101-1k,51-100,0,0,1,0,2,Medium,1,1,Education,0.009125748037848477,3,-0.009709799595991749,0.022050561482582925,0.015036482226954256,0.0,0.0,0.0,1,0,0,0
VID_3_1,Channel_3,2021-05-07 00:00:00+00:00,774,151,81,,CH_0003,2021-06-08 00:00:00+00:00,0,Education,True,Some description,False,0,0,0,1,Night (0-6),32.0,1-3m,0,0,101-1k,51-100,0,0,1,0,2,Medium,1,1,Education,0.023692375642212063,3,0.03399008321709901,0.022050561482582925,0.015036482226954256,0.0,0.0,0.0,1,0,1,1
VID_3_2,Channel_3,2021-05-07 00:00:00+00:00,774,151,81,,CH_0003,2022-06-17 00:00:00+00:00,3,Education,True,Some description,False,0,0,0,4,Night (0-6),406.0,>1y,1,2-5,101-1k,51-100,0,0,1,0,2,Medium,1,1,Education,0.009125748037848477,3,-0.009709799595991749,0.022050561482582925,0.015036482226954256,0.0,0.0,0.0,1,0,0,0
VID_3_3,Channel_3,2021-05-07 00:00:00+00:00,774,151,81,,CH_0003,2022-11-04 00:00:00+00:00,1,Education,True,Some description,False,0,0,0,4,Night (0-6),546.0,>1y,1,1,101-1k,51-100,0,0,1,0,2,Medium,1,1,Education,0.009125748037848477,3,-0.009709799595991749,0.022050561482582925,0.015036482226954256,0.0,0.0,0.0,1,0,0,0
VID_3_4,Channel_3,2021-05-07 00:00:00+00:00,774,151,81,,CH_0003,2022-08-11 00:00:00+00:00,3,Education,True,Some description,False,0,0,0,3,Night (0-6),461.0,>1y,1,2-5,101-1k,51-100,0,0,1,0,2,Medium,1,1,Education,0.009125748037848477,3,-0.009709799595991749,0.022050561482582925,0.015036482226954256,0.0,0.0,0.0,1,0,0,0
VID_4_0,Channel_4,2022-03-05 00:00:00+00:00,257,739,27,DE,CH_0004,2022-06-08 00:00:00+00:00,1,Entertainment,True,Some description,False,0,0,0,2,Night (0-6),95.0,3m-1y,1,1,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.010885733854571788,3,0.016037337679643826,0.022050561482582925,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_4_1,Channel_4,2022-03-05 00:00:00+00:00,257,739,27,DE,CH_0004,2022-10-21 00:00:00+00:00,2,Entertainment,True,Some description,False,0,0,0,4,Night (0-6),230.0,3m-1y,1,2-5,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.010885733854571788,3,0.016037337679643826,0.022050561482582925,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_4_2,Channel_4,2022-03-05 00:00:00+00:00,257,739,27,DE,CH_0004,2022-08-11 00:00:00+00:00,4,Entertainment,True,Some description,False,0,0,0,3,Night (0-6),159.0,3m-1y,1,2-5,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.010885733854571788,3,0.016037337679643826,0.022050561482582925,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_4_3,Channel_4,2022-03-05 00:00:00+00:00,257,739,27,DE,CH_0004,2023-12-10 00:00:00+00:00,1,Entertainment,True,Some description,False,0,0,0,6,Night (0-6),645.0,>1y,1,1,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.002303354762693263,3,-0.009709799595991749,0.022050561482582925,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_4_4,Channel_4,2022-03-05 00:00:00+00:00,257,739,27,DE,CH_0004,2023-02-07 00:00:00+00:00,4,Entertainment,True,Some description,False,0,0,0,1,Night (0-6),339.0,3m-1y,1,2-5,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.010885733854571788,3,0.016037337679643826,0.022050561482582925,-0.005430697598511388,0.0,0.0,0.0,1,0,0,0
VID_5_0,Channel_5,2020-08-12 00:00:00+00:00,5,317,52,DE,CH_0005,2022-06-19 00:00:00+00:00,2,Music,False,,True,0,0,0,6,Night (0-6),676.0,>1y,1,2-5,101-1k,51-100,0,1,0,1,1,Low,1,1,Music,-0.003325392251525373,3,-0.009709799595991749,0.022050561482582925,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
VID_5_1,Channel_5,2020-08-12 00:00:00+00:00,5,317,52,DE,CH_0005,2022-11-16 00:00:00+00:00,2,Music,False,,True,0,0,0,2,Night (0-6),826.0,>1y,1,2-5,101-1k,51-100,0,1,0,1,1,Low,1,1,Music,-0.003325392251525373,3,-0.009709799595991749,0.022050561482582925,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
VID_5_2,Channel_5,2020-08-12 00:00:00+00:00,5,317,52,DE,CH_0005,2020-12-02 00:00:00+00:00,0,Music,False,,True,0,0,0,2,Night (0-6),112.0,3m-1y,0,0,101-1k,51-100,0,1,0,1,1,Low,1,1,Music,0.005256986840353153,3,0.016037337679643826,0.022050561482582925,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
VID_5_3,Channel_5,2020-08-12 00:00:00+00:00,5,317,52,DE,CH_0005,2021-10-27 00:00:00+00:00,2,Music,False,,True,0,0,0,2,Night (0-6),441.0,>1y,1,2-5,101-1k,51-100,0,1,0,1,1,Low,1,1,Music,-0.003325392251525373,3,-0.009709799595991749,0.022050561482582925,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
VID_5_4,Channel_5,2020-08-12 00:00:00+00:00,5,317,52,DE,CH_0005,2020-12-02 00:00:00+00:00,2,Music,False,,True,0,0,0,2,Night (0-6),112.0,3m-1y,1,2-5,101-1k,51-100,0,1,0,1,1,Low,1,1,Music,0.005256986840353153,3,0.016037337679643826,0.022050561482582925,-0.022316938641167294,0.0,0.0,0.0,1,0,0,0
