bot_fraction,threshold_top_k,model,precision,recall,f1_score
0.05,0.05,PROS,0.060836501901140684,0.07111111111111111,0.06557377049180328
0.05,0.1,PROS,0.041044776119402986,0.09777777777777778,0.05781865965834428
0.05,0.15,PROS,0.04830917874396135,0.26666666666666666,0.081799591002045
0.05,auto,IsolationForest,0.041666666666666664,0.008888888888888889,0.014652014652014652
0.1,0.05,PROS,0.11285266457680251,0.07346938775510205,0.08899876390605686
0.1,0.1,PROS,0.11619047619047619,0.12448979591836734,0.12019704433497537
0.1,0.15,PROS,0.1016320474777448,0.2795918367346939,0.14907508161044614
0.1,auto,IsolationForest,0.22916666666666666,0.022448979591836733,0.040892193308550186
0.2,0.05,PROS,0.2545871559633027,0.10571428571428572,0.14939434724091522
0.2,0.1,PROS,0.2388268156424581,0.16285714285714287,0.19365798414496035
0.2,0.15,PROS,0.22825219473264166,0.2723809523809524,0.24837168910117238
0.2,auto,IsolationForest,0.3,0.014285714285714285,0.02727272727272727
0.3,0.05,PROS,0.34297520661157027,0.11066666666666666,0.16733870967741934
0.3,0.1,PROS,0.3173076923076923,0.132,0.1864406779661017
0.3,0.15,PROS,0.3375277572168764,0.304,0.3198877586811645
0.3,auto,IsolationForest,0.42857142857142855,0.014,0.02711426726920594
